-0.25,0.25,-2.839613
-1.178571,0.25,-2.628724
-2.107143,0.25,-2.490106
-3.035714,0.25,-2.42137
-3.964286,0.25,-2.42137
-5,0,-1.527806
-6,0,-1.677087
-7,0,-1.904199
-0.25,1.178571,-2.628724
-1.178571,1.178571,-2.42137
-2.107143,1.178571,-2.285012
-3.035714,1.178571,-2.217379
-3.964286,1.178571,-2.217379
-5,1.0,-1.306936
-6,1.0,-1.453783
-7,1,-1.677087
-0.25,2.107143,-2.490106
-1.178571,2.107143,-2.285012
-2.107143,2.107143,-2.150101
-3.035714,2.107143,-2.083174
-3.964286,2.107143,-2.083174
-5,2.0,-1.161647
-6,2,-1.306936
-7,2,-1.527806
-0.714286,3.035714,-2.310468
-1.642857,3.035714,-2.141716
-2.571429,3.035714,-2.04152
-3.5,3.035714,-2.008293
-4.5,3,-1.044714
-5.5,3,-1.152618
-6.5,3,-1.33435
-1.178571,3.964286,-2.217379
-2.107143,3.964286,-2.083174
-3.035714,3.964286,-2.016592
-4,4,-1.017869
-5,4,-1.089572
-6,4,-1.2341
-1.642857,4.892857,-2.20895
-2.571429,4.892857,-2.108231
-3.5,5,-1.080589
-4.5,5,-1.116557
-5.5,5,-1.225023
-1.642857,5.821429,-2.344488
-2.571429,5.821429,-2.242699
-3.5,6.0,-1.225023
-4.5,6,-1.261368
-5.5,6,-1.370987
-1.642857,6.75,-2.550561
-2.571429,6.75,-2.447102
-3.5,7,-1.444558
-4.5,7,-1.481494
-5.5,7,-1.592912
